,name,address,budget,genre
68,藍屋 世田谷上野毛店,東京都世田谷区中町３－２５－１９,B001,G004
69,藍屋 世田谷八幡山店,東京都世田谷区八幡山３－３９－１０,B001,G004
70,藍屋 練馬光が丘店,東京都練馬区高松５－１２－１０,B001,G004
71,藍屋 浜田山店,東京都杉並区浜田山３－２８－１４,B001,G004
72,藍屋 羽村店,東京都羽村市五ノ神４－１２－３,B001,G004
73,藍屋 東大和店,東京都東大和市仲原３－１,B001,G004
74,藍屋 三鷹新川店,東京都三鷹市新川３－１－１７,B001,G004
75,藍屋 南砂店,東京都江東区南砂４－４－２１,B001,G004
76,藍屋 武蔵野西久保店,東京都武蔵野市西久保１－１９－９,B001,G004
77,あいらくてい,東京都新宿区高田馬場３-22-4 テサンビル1F,B011,G007
78,I Love Gyoza アキバの竜王 秋葉原総本店,東京都千代田区神田佐久間町３-３７,B002,G001
79,islands bar MOKUPUNI モクプニ,東京都中央区日本橋２-3-19八木下ビルB1F,B003,G012
80,アイランダース,東京都台東区上野２‐２‐２　２Ｆ,B002,G002
81,Island cafe&Bar,東京都大田区南雪谷２-14-12　原ビル1F,B002,G014
82,Island Curry stand,東京都新宿区四谷３－１３－１３,B010,G009
83,Island Curry Stand アイランドカレースタンド,東京都新宿区四谷３-13-13 2F,B003,G001
84,アイランドプレートランチ 九段下店,東京都千代田区飯田橋１－４－７　アパホテル東京九段下１F,B001,G009
85,アイランドプレートランチ 築地店,東京都中央区築地７－１０－１１　アパホテル築地駅南１F,B011,G010
86,アイリスクルーズ お台場,東京都江東区青海１－５　パレットタウン桟橋,B004,G006
87,IRISH PUB Craic,東京都港区赤坂２-6-14 変なホテル東京赤坂　1階,B002,G012
88,The Cluracan,東京都杉並区高円寺南４-9-6第3矢島ビル1F,B002,G002
89,I RISH PUB CRAIC 浜松町店,東京都港区浜松町１-24-11変なホテル東京　浜松町内1F,B002,G002
90,CELTS ケルツ IRISH PUB 上野駅前店,東京都台東区上野４丁目１０－６,B011,G001
91,CELTS ケルツ 大崎シンクパーク店,東京都品川区大崎２-1-1　大崎ShinkPark Tower 2F,B002,G012
92,CELTS ケルツ 品川港南口店,東京都港区港南２‐５‐１４　CANALE品川１Ｆ,B002,G002
93,CELTS ケルツ 新橋烏森口駅前店,東京都港区新橋３-16-5　DK新橋烏森口ビル2F,B002,G002
94,CELTS ケルツ 新橋日比谷口店,東京都港区新橋２－９－２　ミクニビル　B1,B002,G002
95,CELTS ケルツ 八重洲店,東京都中央区日本橋３－２－１７ 日本橋三丁目ビル,B002,G002
96,シェイマスオハラ Seamus O´hara,東京都品川区小山３-24-14,B002,G002
97,IRISH PUB Peter Cole,東京都渋谷区本町３-14-1 アパホテル１F,B003,G002
98,ISLET,東京都中野区中央５-48-5,B002,G015
99,アインソフ ソア 池袋 AIN SOPH. soar,東京都豊島区東池袋３-5-7　ユニオンビル１F,B001,G014
100,AIN SOPH.GINZA アインソフ ギンザ,東京都中央区銀座４-12-1,B002,G002
101,アインソフ ジャーニー AIN SOPH.JOURNEY,東京都新宿区新宿3-8-9新宿Qビル1階,B003,G002
102,Out Door Dining CLIMB クライム,東京都足立区千住桜木２-7-3,B002,G002
103,アウトバックステーキハウス 品川港南店,東京都港区港南２－１６－２　品川グランドコモンズ内　太陽生命品川ビル３Ｆ,B003,G005
104,アウトバックステーキハウス 品川高輪店,東京都港区高輪４－１０－８　京急EXイン高輪B1,B003,G005
105,アウトバックステーキハウス 渋谷店,東京都渋谷区宇田川町３４－１,B003,G005
106,アウトバックステーキハウス 六本木店,東京都港区六本木６‐１‐３　六門ビル２Ｆ,B003,G005
107,アウトバックステーキハウス 池袋店,東京都豊島区東池袋１-41-4 池袋とうきゅう７F,B003,G005
108,アウボラーダ,東京都武蔵野市吉祥寺本町１‐３２‐９　モトハシビル　Ｂ１Ｆ,B002,G010
109,あ・うん,東京都港区赤坂３－１０－６　雪華堂ビル　２Ｆ,B004,G001
110,あうん 赤坂,東京都港区赤坂４－２－３ディアシティ赤坂１０３,B008,G001
111,阿吽ノ和牛,東京都台東区雷門２-1-13 4F,B008,G008
112,葵鮨本店,東京都葛飾区新小岩２‐１７‐３,B004,G004
113,蒼い空,東京都世田谷区宇奈根１-17-15,B011,G002
114,AOI NAPOLI 青いナポリ,東京都文京区小石川３‐３２‐１　２F,B003,G006
115,葵丸進,東京都台東区浅草１－４－４,B008,G004
116,アオザイ 赤坂,東京都港区赤坂５－４－１４　トレード赤坂１Ｆ,B002,G009
117,青砥 黒毛和牛焼肉 舜,東京都葛飾区青戸３-32-18 湖州ビル2F,B003,G008
118,台湾料理 青葉 新宿,東京都新宿区歌舞伎町１-１２-６　歌舞伎町ビルB１Ｆ,B004,G007
119,青葉 池袋サンシャイン店,東京都豊島区東池袋３－１－１　サンシャインシティアルパＢ１,B001,G013
120,SOM TUM CAFE ソムタムカフェ 田町芝浦店,東京都港区芝浦３-12-16 金生谷ビル1F,B010,G009
121,青森Souls,東京都江東区亀戸６‐24‐1,B004,G004
122,青森ねぶた小屋 秋葉原店,東京都千代田区外神田４-4-2 ヒューリック＆ニュー6F,B003,G001
123,青森ねぶたワールド 新橋店,東京都港区新橋３-13-4　 eatus新橋3Ｆ,B003,G001
124,青森の肉と野菜 やだらめぇ 高田馬場店,東京都豊島区高田３-10-2,B003,G001
125,焼肉 あおやま 北野 ,東京都八王子市打越町３４５‐２　京王北野マンションＡ棟,B003,G008
126,青山 浅田,東京都港区北青山２－７－１３　プラセオ青山Ｂ１Ｆ,B006,G004
127,青山 雅灯,東京都渋谷区神宮前５－５１－６　テラアシオス南青山Ｂ１Ｆ　,B005,G004
128,青山 牛彩,東京都港区南青山２－１１－１１,B005,G005
129,青山 仁,東京都港区南青山３-9-1　1F,B006,G004
130,青山 鮨 ふく江,東京都渋谷区渋谷１-6-4,B013,G004
131,星のなる木 青山,東京都渋谷区神宮前５－５１－８　ラ・ポルト青山４Ｆ,B006,G004
132,広東料理 青山一品 青山店,東京都渋谷区渋谷２‐２‐４青山アルコープ１Ｆ,B001,G007
133,広東料理 青山一品 要町店,東京都豊島区要町１-10-1,B001,G007
134,広東料理 青山一品 中野坂上店,東京都中野区本町２-51-10　OKビル１F,B003,G007
135,青山WHISKY,東京都渋谷区神宮前５丁目50－６　サクセス青山ビル６階,B002,G012
136,ロイヤルガーデンカフェ Royal Garden Cafe 青山,東京都港区北青山２-1-19,B004,G014
137,青山餃子房 笹塚店,東京都渋谷区笹塚１－５５－１６ 京王クラウン街笹塚１Ｆ,B002,G007
138,青山餃子房 高田馬場店,東京都新宿区高田馬場４-18-9 1F,B002,G007
139,青山餃子房 浜松町店,東京都港区浜松町１-2-13 江口ビル1F,B002,G007
140,青山餃子房 金町店,東京都葛飾区南水元１-27-1ハピネス101,B001,G007
141,青山餃子房 北綾瀬店,東京都足立区谷中４-13-12,B001,G007
142,青山酒場 青山一丁目,東京都港区南青山２-２-１５ ウィン青山 1F,B002,G001
143,青山シャンウェイ 丸の内店,東京都千代田区丸の内１－５－１　新丸の内ビルディングＢ１,B003,G007
144,青山食堂,東京都渋谷区神宮前５-51-8 ラ・ポルト青山地下1階,B008,G001
145,青山鶏,東京都港区南青山２-14-13-B1F,B005,G003
146,青山 鶏味座 本店,東京都港区南青山３‐１２‐４　,B003,G001
147,AOYAMA TORO 青山トロ,東京都渋谷区神宮前５－５１－８　青山ラ・ポルト　B１Ｆ,B008,G002
148,青山はしづめ,東京都港区南青山３-10-34 2階,B006,G007
149,ハンター ラ ストラーダ 外苑前,東京都港区南青山２-27-20 工藤ビル2F,B003,G006
150,Aoyama Bouchon amuser 青山ブション アミュゼ,東京都港区南青山５-9-8 五番館ビル2階,B005,G006
151,青山焼鳥倶楽部,東京都港区南青山５－１０－５青山ハイツＢ１,B008,G001
152,AOYUZU 恵比寿 アオユズ,東京都渋谷区恵比寿１－８－１４　大黒ビルＢ１,B003,G006
153,青柚子 二子玉川店,東京都世田谷区玉川３－１４－５ 柳小路西角,B008,G004
154,青ゆず寅 豊洲,東京都江東区豊洲３－２－２４　豊洲フォレシア１F,B008,G004
155,青ゆず寅 丸ビル店,東京都千代田区丸の内２-４-１　丸の内ビルディング６Ｆ,B004,G004
156,青蓮 天王洲スフィアタワー店,東京都品川区東品川２-2-8 スフィアタワー天王洲1F,B003,G007
157,赤いきゃべつ,東京都新宿区荒木町７-1　野崎ビル１Ｆ,B008,G011
158,AGAVE アガヴェ,東京都港区六本木７-18-11 DMビルB1,B002,G012
159,赤鬼 池袋,東京都豊島区南池袋２-27-15東興ビル1F,B002,G016
160,赤から 池袋サンシャイン通り店,東京都豊島区東池袋１丁目２１－１３,B002,G001
161,赤から 上野アメ横店,東京都台東区上野４‐７‐３　コムロビル４・５Ｆ ※受付は4階になります※,B002,G008
162,赤から 上野駅前店,東京都台東区上野６－８－１３　東京堂ビルB１F,B002,G001
163,赤から 蒲田店,東京都大田区西蒲田７-5-10 3F,B002,G001
164,赤から 錦糸町店,東京都墨田区江東橋３-13-6　ヒューリック錦糸町駅前ビル　3F,B002,G001
165,赤から 下北沢店,東京都世田谷区北沢２-10-10　FIビル２階,B003,G001
166,赤から 新宿歌舞伎町店,東京都新宿区歌舞伎町１-21-2　伊藤ビル　2F,B003,G001
167,赤から 新宿東口店,東京都新宿区新宿３-26-2　4Ｆ,B002,G001
168,赤から 新宿靖国通り店はなれ,東京都新宿区歌舞伎町１-6-2 T-wingビル 3F,B002,G001
169,赤から 浅草六区店,東京都台東区浅草１-４３-10,B002,G001
170,赤から 西葛西北口店,東京都江戸川区西葛西５-1-14　第一保志ビル3F,B002,G001
171,赤から 八王子北口店,東京都八王子市東町11-2　千島ビル2F,B002,G001
